-0.58,-0.45,-0.97,0.07,0.16,0,-0.16,-0.3,0.15,-0.22,-0.28,0.12,-0.08,-0.11,0.66,0.1,-0.4,0.53,-0.55,-0.84,-0.47,-0.83,-0.61,-0.31,0.46,-0.03,1.09,0.22,-0.3,-0.15,-0.22,-0.53,-0.19,0.21,0.4,-0.19,-0.22,-0.3,-0.25,0.12,-0.15,-1.17,2.11,-0.66,-0.3,0.08,-0.39,-0.31,-0.15,0.26,0.16,-0.23,-0.56,0,0,0.29,0.99,0,0.29,0.29,-0.74,-0.11,-0.06,0.2,-0.17,0.4,0.37,-0.24,0.01,-0.34,-0.1,-0.15,-0.01,0.12,0.24,0.38,-0.14,-0.29,-0.25,-0.03
-0.6,0.1,0.48,-0.32,-0.62,-0.09,-0.09,-0.02,0.02,-0.36,0.65,0.33,0.19,0.09,-1.03,-0.38,0.25,0.62,0.12,-0.56,0.23,-0.23,-0.74,-0.49,0.66,0.42,0.53,0.44,0.09,0.49,0.37,-0.3,-0.47,-0.15,0.16,-0.18,0.24,-0.32,-0.15,-0.07,0.14,0.2,-0.85,-0.08,-0.63,0.12,-0.22,-0.01,-0.2,-0.44,0.32,0.63,-0.23,-0.97,0.07,-0.34,-0.94,-1.06,-0.43,-0.54,-1.12,0.17,-0.18,-0.12,-0.54,-0.19,-0.08,0.07,0.25,0.14,0.36,0.18,-0.05,-0.13,-0.67,-0.1,-0.04,0.02,0.05,0.09
-0.58,-0.23,0.23,-0.29,0.42,-0.1,0,-0.58,-0.51,-1.01,-1.09,1.94,0.85,0.41,0.51,0.77,0.15,0.15,0.19,-0.76,0,-0.54,-0.34,-0.1,0.32,0.41,1.07,0.07,-0.15,0.46,0.32,-0.25,0.25,0.01,0.39,-0.1,0.32,-0.09,-0.17,-0.25,0.01,-0.62,0.21,0.18,0.34,0.03,0.03,0.07,0,0.16,0.08,0.36,-0.15,0,-0.25,-0.22,0,0,0,0.06,0,0.41,-0.69,0,1.46,0,0,-0.81,0.21,0.23,0.23,-0.04,-0.14,0.01,-0.1,-0.14,0.25,0.14,0,-0.15
-0.74,-0.38,0.87,-0.34,0.12,-0.06,0,-0.24,-0.04,-0.44,0.23,0.77,0.63,0.17,0.33,0.28,-0.09,0.42,0.12,-0.64,-0.29,-0.49,1.98,-0.27,0.33,0.04,0.41,-0.32,-0.01,0.33,0.25,0.54,0,0.39,0.18,0.11,0.04,1.51,-0.05,-0.16,-0.13,-0.34,0.01,-0.16,-0.26,0.06,-0.01,-0.02,-0.13,-0.07,0.17,0.39,-0.4,-0.42,-0.8,-0.39,-0.59,-0.47,-0.38,-0.29,-0.42,-0.55,0.02,-0.08,-0.37,-0.63,-0.47,-0.93,-0.12,-0.01,-0.08,-0.27,-0.23,-0.11,-0.24,-0.15,0.01,0.12,-0.09,-0.06
0.2,0.31,0.15,0.04,-0.22,-0.04,-0.06,0.03,-0.51,-0.36,0.04,0.3,0.42,-0.03,-0.32,-0.32,-0.49,-0.92,-0.36,0.91,0.57,0.59,0.61,0.66,0.3,0.46,0.28,0.19,0.38,0.61,0.51,0.24,0.4,0.37,-0.1,-0.03,0.01,0,0.52,0.25,0.34,-0.09,0.24,0.25,0.14,0.64,0.44,0.54,0.32,0.23,0.2,0.4,-0.18,0,-0.3,-0.49,-0.49,-0.25,-0.07,0.08,-0.43,-0.14,0.04,0.06,0.2,0.34,0.12,-0.12,0.15,0.57,0.64,0.44,0.52,0.38,0.28,0.08,0.09,0.07,0.07,-0.07
-0.04,-0.03,-0.2,-0.29,-0.76,-0.29,-0.15,0.01,-0.07,0.06,-0.49,0.15,0.08,-0.25,-0.67,0.21,-1.36,0.63,0.11,-0.07,-0.2,-0.06,-0.04,-0.58,0.1,0.04,-0.07,-0.22,0.34,0.12,-0.01,0.03,-0.15,0.15,-0.25,-0.18,-0.07,-0.2,-0.09,0.04,0.15,-0.27,0,-0.01,-0.34,0.03,-0.32,-0.89,0,0.39,-0.23,-0.09,-0.3,0,-0.2,-0.12,-0.12,-0.32,-0.3,-0.27,-0.67,-0.3,0.03,-0.32,-0.17,0.19,0.06,-0.17,-0.1,0.03,0.14,-0.09,0.04,-0.17,-0.1,-0.07,0.05,-0.11,-0.33,-0.14
-0.61,-0.8,-1.38,-0.48,-1.29,-0.59,-0.38,-0.83,0.37,0.21,-0.15,0.47,0.6,-0.35,0.43,0.61,-0.33,0.46,0.38,-1.04,-0.8,-0.79,-0.91,-0.43,0.71,-0.06,0.28,-0.03,0.23,0.19,0.38,-0.04,-0.32,-0.16,0.09,-0.49,-0.18,-0.17,-0.14,-0.28,0.9,-0.38,0.49,-0.17,-0.25,-0.16,-0.69,-0.35,-0.43,-0.66,-0.56,0.1,-0.82,0,-0.94,-0.69,-0.41,-0.58,-0.54,-0.71,-0.89,0.5,-0.01,0.13,-0.19,-0.87,0.08,-0.84,0.21,0.23,0.08,-0.17,-0.1,-0.16,-0.18,0,0.12,0.03,-0.09,-0.12
-0.58,-0.86,-1.18,-0.71,-0.71,-0.29,-0.58,0.61,0.37,0.05,-0.12,-1.08,-1.04,0.45,1.18,1.41,1.4,1.62,1.14,-1.51,-0.94,-1.84,-0.94,-0.85,0.12,-0.44,0.22,0.1,0.12,0.08,0.34,0.51,-0.14,0.39,-0.17,-0.36,0,0,-0.35,-0.07,-0.3,-0.03,-0.25,-0.71,-1.89,-0.36,-0.44,-0.46,-0.31,-0.64,-0.51,-0.49,-0.67,0.57,0.22,0.25,-0.4,-0.21,-0.55,-0.41,-1.25,0.61,0.3,-0.12,-0.36,-0.58,-0.9,0.19,-0.74,-0.77,-0.66,-0.97,-0.48,-0.63,-0.42,-0.45,-0.34,-1.15,-0.45,-0.23
-0.03,-0.12,-0.04,-0.58,-0.74,-0.45,-0.51,0.46,0.78,0.58,0.21,0.49,-0.15,-0.12,-0.07,0,-0.2,0.97,1.05,-0.12,0.23,0.37,0.24,0.24,0.26,0.26,0.08,0.44,0.15,0.08,-0.25,0.28,0.39,0.04,0.15,-0.71,-0.51,-0.81,-0.89,-0.23,-0.12,-0.45,0.03,0.14,-0.81,-0.84,-0.94,-0.94,-0.79,-1.03,-1,-0.67,-0.76,0.56,0.14,0.32,-0.06,0.11,0.21,-0.12,-0.6,0.74,0.59,0.48,0.62,0.8,0.06,-0.15,0.46,0.33,-0.06,-0.22,-0.17,-0.06,0.46,-0.07,0.24,-0.5,-0.7,-0.08
0.42,0.48,0.11,0.18,0.39,-0.23,-0.64,0.03,-0.79,-0.27,-0.62,-0.06,0.4,-0.22,0.59,-2.18,-0.74,0.3,0.26,0.03,-0.06,0.3,0.26,-0.1,0.36,0.34,-0.17,0.14,0.15,0.4,0.24,0.93,0.78,0.41,-0.12,-0.34,-0.32,-0.42,-0.47,0.03,0.28,-0.03,0.1,0.3,-0.45,-0.36,-0.25,-0.1,0.1,-0.07,-0.12,-0.22,-0.14,-0.4,-0.69,-0.45,-0.27,-0.32,-0.34,-0.71,-0.62,-0.1,-0.07,-0.2,0.28,0.42,0.41,-0.25,0.32,0.86,1.24,0.76,1.28,0.7,0.85,0.07,-0.09,-0.35,-0.31,-0.08
-0.56,-0.18,-0.3,-0.89,-0.74,-1.03,-0.67,0.16,0.12,0.16,0.06,0.15,0.23,-0.29,0.4,0.38,0.6,0.3,0.69,-0.69,-0.29,-0.2,0.03,0.25,0.15,0.3,0.06,0.31,-0.09,-0.17,-0.22,-0.32,-0.25,-0.1,-0.43,-0.38,0.12,-0.94,-0.42,-0.36,-0.06,-0.14,0.16,0.16,-0.36,-0.3,-0.45,-0.17,-0.03,-1.15,-0.34,-0.25,-0.62,-1.29,-0.04,-0.12,-0.58,0,-0.71,-0.45,-0.45,0.46,0.15,-0.03,0.14,-0.09,0.3,0.9,0,0.11,0.23,0.28,0.18,-0.25,-0.45,-0.42,0.3,0.17,-0.02,0.04
0.31,0.29,-0.3,-0.06,-0.01,-0.14,-0.2,-0.43,-0.49,-0.45,-0.64,0.08,-0.15,-0.14,0.28,0.6,0.06,0.52,-0.38,0.34,0.06,0.11,0.14,-0.23,-0.51,0.43,0.69,-0.23,0.14,0.5,0.25,0.59,0.12,0.34,-0.2,-0.22,0,-0.34,-0.06,-0.14,0.04,-0.32,-0.2,-0.01,-0.01,0,0.01,-0.1,0.07,-0.25,-0.17,-0.38,-0.03,-0.89,-0.97,-0.89,-0.42,-0.23,-0.3,-0.67,-0.3,-0.1,-0.12,0.01,-0.25,0.25,0.06,-0.14,-0.47,-0.34,-0.03,-0.25,0.06,-0.49,-0.22,0,0.06,-0.01,0.02,-0.08
-0.01,-0.34,-0.67,-0.23,0,-0.58,-0.6,-0.14,-0.3,-0.17,-0.81,-0.03,0,-0.1,-1.06,-3.32,0.41,-1.74,0.24,-0.15,-0.45,-0.27,-0.25,-0.54,1.34,-0.1,0.53,0.39,-0.17,0.12,0.3,0.14,-0.3,0.39,0.24,-0.43,-0.34,-0.67,-0.38,-0.03,-0.04,-0.29,-0.12,0,-0.04,-0.18,-0.15,-0.2,0.12,-0.01,-0.2,-0.38,0.07,-1.36,-0.62,-1.51,-0.34,-0.38,-0.25,-0.89,-0.6,-0.15,0.07,0.14,-0.22,-0.06,-0.22,1.29,0,-0.45,0.01,-0.04,0.03,-0.45,-0.25,-0.4,0.01,-0.35,-0.22,-0.01
0.33,-0.51,-1.6,-0.22,0,-0.38,-0.23,-0.2,-0.3,-0.27,-0.4,-0.15,-0.3,-0.12,-0.3,0.29,-1.51,0.48,-0.62,0.1,-0.45,-0.38,-0.38,-1.89,1.1,-0.12,0.74,-0.34,-0.17,0.07,0.44,0.21,0.19,0.96,0,-1.94,0,-0.25,0,0,0,0,0,1.42,-1.6,0,0,0,-0.07,0,0,0,0,-0.64,-0.58,-0.56,-0.34,-0.49,-0.29,-0.58,-0.54,-0.1,-0.14,-0.17,-0.84,-0.23,-0.34,-0.4,-0.58,-0.47,-0.32,-0.45,-0.25,-0.3,-0.29,-0.18,0.05,-0.32,-0.01,0
-0.14,-0.27,0.31,0.18,0.04,-0.17,-0.94,-0.02,-0.52,-0.33,0.01,0.29,0.17,-0.23,1.07,0.21,-0.4,-0.94,-0.09,-0.29,0.21,-0.04,-0.32,-3.25,2.49,0.63,0.53,-0.74,1.12,-0.23,0.05,0.76,-0.76,-0.03,0.57,0.05,-0.27,0.11,-0.19,-0.23,-0.62,0.05,-0.4,-0.26,-0.18,-0.02,0.22,0.05,-0.12,0.16,-0.34,0.63,-0.54,-2.4,0,-3.12,0.07,-0.74,-0.55,0.16,-0.64,-0.76,-0.53,-0.22,0.03,0.13,-0.3,-0.28,-0.04,0.01,0.09,-0.01,-0.11,0.01,-0.13,-0.29,0.07,-0.03,-0.1,-0.13
0,0.2,0.77,0.79,0,0.36,-0.62,-0.94,-0.62,-0.63,0.14,0.53,0.8,-0.27,1,-1.4,-1.09,0,-2.06,1.38,0.87,0.71,0.48,0.12,0,1.32,0.12,-1.18,0.34,0,0.52,1.65,0,0,0,-0.18,-0.3,-0.38,0.01,-0.49,-0.07,0.44,0.06,0.11,-0.4,0.07,-0.25,-0.36,0.24,-0.34,-0.29,-0.07,0.12,-0.64,-0.36,-0.17,-0.89,-0.51,0.2,0.25,0.19,-0.69,-0.47,-0.04,-1.09,-0.15,0.86,-0.34,0.26,0.26,0.25,0.83,0.38,0.21,0.04,-0.12,0.14,0.13,-0.07,-0.2
-0.16,-0.03,0.26,-0.08,0.01,0.16,-0.23,-0.42,-0.14,-0.43,-0.36,0.4,0.12,-0.42,0.26,-0.29,0.23,1.26,0.26,-0.14,0,0.34,-0.13,0.14,1.13,0.33,2.24,-0.84,0.51,0.72,0.67,0.83,-0.84,0.23,0.19,0.22,0.02,0.67,0.18,-0.27,-0.21,0.22,-0.07,-0.08,0.03,0.12,-0.21,-0.23,-0.14,-0.33,-1.84,0.05,-0.76,-0.81,-1.94,-0.17,-0.81,0,-0.22,0.06,0.06,-0.08,-0.59,0.07,-0.2,-0.26,-0.08,-0.29,0.23,0.14,0.13,-0.02,-0.03,-0.13,-0.28,-0.24,0.23,0.06,-0.1,-0.13
2.45,2.93,3.01,2.68,2.39,1.83,1.57,-1.84,-2.06,-1.83,-0.81,0.88,0.6,-0.18,0,-0.04,-0.32,1.14,-0.69,3.48,3.22,2.88,2.43,1.82,2,2.75,1.2,0.7,0.89,2.22,0.81,1.37,0.71,0.36,-0.27,0,0.32,0.73,0.55,1.28,0.86,1.38,0.62,0.82,-0.1,-0.51,-0.3,-0.49,-0.3,-1.15,0.19,0.28,0.16,-1.51,0,0,-0.81,0,-0.3,-0.23,0.32,-0.17,-0.15,-0.03,0.24,0.6,0.67,0.28,0.58,1.54,1.88,1.94,1.46,0.77,0.12,-0.43,0,0.28,-0.02,0.08
0.44,0.39,-0.06,-0.18,-0.42,-0.86,-0.45,-0.36,-0.56,-0.59,-0.17,0.73,0.04,-0.56,-3.84,-0.92,-0.92,-0.25,0.52,0.68,0.57,0.76,0.68,0.55,0.92,0.9,-0.32,0.45,0.12,0.39,-0.49,0.52,-0.64,-0.47,0.07,-0.4,0.06,-0.32,-0.84,-0.09,0.03,0.54,-0.15,-0.01,-1.06,-0.81,-0.54,-0.12,-0.6,-2.32,-0.76,-0.79,0.11,-0.97,0,0,-0.69,0,-0.34,-0.67,0.76,-0.34,-0.18,-0.23,-0.09,0.39,0.07,-0.06,0.18,0.24,0.37,0.21,0.06,-0.29,-0.36,-0.56,0.32,-0.05,-0.47,-0.3
0,-0.38,-1.12,-0.4,-0.76,-0.47,-0.49,-0.71,-0.29,0.34,0.57,0.07,0.07,-0.27,0,-1.43,-0.25,-1.43,-1,-0.89,-0.43,0,-0.45,0.84,-3.32,0.68,0,0,-0.67,0.37,-1,0,-0.64,1.12,0.41,0.44,-0.2,-0.58,0,0.03,0.01,0.78,0,0.12,-0.64,-0.42,-0.06,-0.47,-0.79,-1.06,0.61,-0.23,-0.27,-0.81,-4.32,-0.6,-0.43,0,-0.56,-1.74,0,-0.1,-0.49,-0.58,-0.14,-0.27,-1.12,-0.49,0,0.18,0.03,0.03,-0.17,-0.12,-0.14,-0.1,0.16,-0.04,-0.13,0.14
-1.09,-0.74,-0.47,-0.49,-0.69,-0.25,-0.12,0.24,0.37,0.2,-0.03,-0.29,-0.09,-0.06,0.31,0.34,0.57,-0.42,0.25,-0.54,-0.54,-0.36,-0.42,0.11,0.58,0.46,0.41,0.08,0.49,0.46,0.34,0.36,0.4,0.68,-0.58,-0.3,-0.71,-1,-0.32,-0.3,-0.1,0.2,-0.32,0.04,-0.23,-0.23,0.11,-0.03,0,0.16,0.5,0.03,-0.15,-0.67,-0.64,-0.29,-0.23,0,-0.15,-0.18,-0.2,-0.09,0.29,0.29,0.3,-0.14,-0.47,-0.38,-0.09,-0.07,-0.34,-0.36,-0.15,-0.18,-0.2,-0.2,-0.08,-0.16,-0.21,-0.19
-0.14,-0.34,-0.84,-0.42,-0.25,-0.64,-0.69,0.1,0.12,-0.11,-0.54,-0.06,-0.17,-0.01,-0.38,0.03,-0.34,0.06,1.12,-0.3,-0.36,-0.32,-0.34,-0.54,1.46,0.23,0.81,0.58,-0.4,-0.1,-0.15,0.18,-0.62,-0.86,0.24,-0.03,0.42,-0.43,0.2,0,-0.03,0.3,0.81,0,0.33,0.38,0.19,0.1,0.14,0.65,0.01,0.23,-0.09,0,0,0,0,0,-0.58,-1.89,0,-0.3,0.03,-0.01,0.24,0.21,0.07,-0.07,-0.49,-0.27,0,-0.18,0,-0.15,0,0,0.01,0.03,-0.08,-0.03
-0.27,-0.09,0.14,-0.12,-0.14,-0.14,-0.27,0.01,0.14,0.13,-0.51,0.36,0.24,-0.03,-1.18,-0.27,1.34,0.2,1.05,0.03,0.07,0.21,0.19,0.48,1.84,0.56,1.05,0.01,1.28,-0.14,0.9,0.9,0.59,0.61,0.1,-0.12,-0.32,0.63,0.6,0.29,0.03,0.51,0.12,0.08,-0.4,-0.09,0.1,0,0.03,0.19,0.68,0.15,0.06,-0.79,-0.15,-0.43,-0.79,0,-0.2,-0.51,-0.92,0.03,0.19,0.06,0.31,0.07,-0.1,-0.18,0.15,0.39,0.56,0.48,0.59,0.41,0.28,0.06,0.11,-0.04,-0.04,-0.22
-0.04,-0.45,0,-0.36,0,-0.92,-0.81,0.28,0.58,-0.69,-0.36,-0.51,-1.18,0,-1.18,-0.2,-0.47,0.98,0.74,-0.58,-0.56,-0.84,-0.84,-1.03,0.91,-0.22,0.74,-0.45,-0.45,-1.25,0.41,0.28,-0.15,0.07,-0.29,-0.34,-0.27,-1.03,-0.32,-0.18,-0.12,0.29,-0.18,0.01,0.01,-0.36,-0.2,-1.03,-0.22,-0.36,-0.27,-0.42,0.14,0,0,0,0,0,-0.29,-0.58,0,-0.42,-0.3,-0.09,-0.25,-0.4,-0.22,0.49,-0.3,0.16,-0.07,-0.51,0.1,-0.15,-0.12,-0.2,0.08,-0.27,-0.46,0.03
-0.81,-0.36,-0.56,-0.32,0,-0.47,0,-0.3,0.15,-0.74,0.11,0.11,0.32,-0.47,-5.06,1.18,-0.23,-0.54,0.23,-0.76,-0.36,-0.51,-0.51,-0.74,0,-0.38,0,0,-0.12,1.16,-0.09,0.19,-1.51,1.34,0.04,-0.56,-0.71,-0.47,-0.94,-0.81,-0.29,0.32,-0.04,-0.12,-0.4,-0.32,0.11,-0.32,0,-0.32,-0.04,0.31,-0.23,-0.6,0,0,0,0,-0.49,-0.34,0,-0.25,-0.23,-0.45,-0.34,-0.62,-0.51,-0.25,0.19,-0.17,0.1,-0.25,-0.25,-0.18,-0.89,-0.25,0.17,0,-0.03,-0.12
-0.23,0,0,-0.27,-0.2,-1,-0.47,-0.29,0.68,-0.23,0.72,0.17,0.19,0.07,-0.27,-2.22,0.72,0,0,0.31,0,-0.09,0.56,0.04,0,0,0,2.14,0.49,-0.58,-0.44,-1.22,-0.58,-0.22,-0.08,0.52,0.08,0.32,-0.16,-0.19,-0.21,-0.05,0.23,-0.2,-0.02,-0.43,-0.11,-0.47,-0.43,-0.25,0.19,-0.15,-0.28,-0.97,0,0,-0.09,-0.09,-0.88,1.23,-0.03,-0.43,-0.34,-0.46,-0.29,-0.69,-0.08,0.25,0.12,0.04,0.91,-0.52,-0.3,-0.23,-0.17,-0.38,-0.04,0.04,-0.22,-0.39
0.1,0.23,0.24,0,-0.14,0.11,-0.01,-0.22,-0.09,-0.05,0.06,0.43,1.51,0.41,-0.67,-0.07,-0.3,-0.04,0.01,1.01,0.14,0.34,0.06,0.23,0.46,0.53,0.58,0.68,0.01,0.25,0.01,-0.34,0.12,0.55,-0.42,0.14,0.15,0.87,0.11,0.29,-0.04,-0.14,-0.01,0.06,0.21,0.11,0.46,0.51,0.24,0.08,0.41,0.18,0.25,-0.6,0,0,0.03,-0.34,-0.25,0,-0.03,0.06,-0.34,-0.04,0.16,0.41,0.77,0.14,0.03,0.3,0.18,0.21,0.42,0.24,0.69,0.49,0.11,0.4,0.24,-0.07
-0.14,0.33,0.18,-0.07,0,0.06,0.08,-0.43,-0.13,-0.77,0.27,0.31,0.38,-0.1,0.37,-0.38,-0.13,-0.86,0.32,-0.06,0.03,0.02,-0.49,0.18,0.43,0.37,0.58,-0.08,-0.14,0.43,0.33,0.16,0.29,-1,0.55,-1.48,0.08,-0.03,-0.1,-0.31,-0.18,-0.02,-0.16,-0.14,-0.11,-0.23,-0.17,-0.49,-0.56,-0.64,-0.21,-0.13,-0.16,-0.34,-0.56,0,-0.57,-0.38,-0.31,-0.7,-0.42,-0.12,-0.27,-0.35,-0.41,-0.3,0.12,-0.07,0.06,0.23,0.21,0.11,0.09,-0.07,-0.23,-0.11,0.21,0.01,-0.21,-0.03
0.43,-0.49,-1.09,-1.79,-1.79,0.59,0.53,0.34,0.54,0.36,0.16,0.14,-1.15,0.72,0.03,0,-0.2,0.74,1.08,-0.81,-0.54,-0.69,-0.97,-0.6,-0.29,-0.58,-0.38,0.41,0.06,-0.89,-0.84,-0.09,-1,-0.56,-1.09,-1.84,-0.94,-0.91,-0.3,-0.14,-0.67,-0.62,-0.22,-0.27,0.46,0.2,-0.12,-0.36,-0.42,0.49,0.38,0.14,0.76,0.16,-0.14,-0.43,-0.62,-0.25,-0.67,-1.69,-2.32,1.13,1.24,1.23,-0.03,-0.76,-1.22,0.51,0.43,0.58,0.16,-0.42,-0.49,-0.2,0.18,0.41,-0.45,-0.14,-0.55,-0.69
-0.4,-1.12,-1.4,-2.06,-2.25,0.18,0.16,0.78,1.12,0.6,0.32,0.18,-1.06,0.52,0.4,0.44,0,1.12,1.46,-1.18,-1.03,-1.29,-1.43,-0.3,-0.15,-0.64,-0.38,0.1,0.26,-0.67,-0.74,0.3,-0.97,-0.38,-0.09,-1.6,-1.15,-1.38,-0.62,0,-0.4,-0.74,-0.23,-0.34,0.38,0.03,-0.56,0,0,0.44,0.18,0,0.51,0.45,0.18,0.16,-0.32,-0.32,-0.81,-1.6,-2.64,1.23,1.12,0.9,0.21,-0.94,-1.25,0.19,0.5,0.65,0.3,-0.45,-0.62,-0.47,0.1,0.32,-0.57,-0.37,-0.52,-0.71
